name,hall_of_fame_class,year_drafted,gp,min,pts,fgm,fga,fg,3p_made,3pa,3p,ftm,fta,ft,oreb,dreb,reb,ast,stl,blk,tov,eff
Mark Eaton,,1982,81,18.9,4.3,1.8,4.4,41.4,0,0,0,0.7,1.1,65.6,1.1,4.6,5.7,1.4,0.3,3.4,1.7,10.4
Mark McNamara,,1982,36,5.1,2.2,0.8,1.8,45.3,0,0,0,0.6,1.3,44.4,0.9,1.2,2.1,0.2,0.1,0.1,1,2
Mitchell Anderson,,1982,65,18.5,7.4,2.9,5.8,50.1,0,0.1,0,1.5,2.7,57.1,1.8,2.7,4.5,1,1,0.3,1.2,9
Oliver Robinson,,1982,35,4.2,2.9,1,2.8,36.1,0,0.3,9.1,0.9,1.3,66.7,0.2,0.3,0.5,0.6,0.1,0.1,0.4,1.6
Paul Pressey,,1982,79,19.3,6.7,2.7,5.9,45.7,0,0.1,11.1,1.3,2.2,59.7,1.1,2.5,3.6,2.6,1.3,0.6,2,8.6
Quintin Dailey,,1982,76,27.4,15.1,6.2,13.3,46.6,0.1,0.3,20,2.7,3.7,73,1.1,2.3,3.4,3.7,0.9,0.1,2.7,12.6
Richard Anderson,,1982,78,16.3,5.2,2.2,5.5,40.4,0.1,0.2,36.8,0.6,0.9,69.6,1.4,2.1,3.5,1.5,0.7,0.3,1.2,6.5
Rickey Williams,,1982,44,7.9,3.3,1.3,3.1,41.5,0,0.1,0,0.8,1.2,66,0.3,0.5,0.9,0.8,0.5,0.1,0.9,2.5
Ricky Pierce,,1982,39,6.8,2.2,0.8,2.3,37.5,0,0.2,14.3,0.5,0.8,56.3,0.4,0.5,0.9,0.4,0.2,0.1,0.5,1.5
Rob Williams,,1982,74,19.5,7,2.6,6.3,40.8,0,0.2,13.3,1.8,2.4,75.3,0.5,1.3,1.8,4.9,1.2,0.2,2.5,8.2
Rod Higgins,,1982,82,26.8,10.3,3.8,8.5,44.8,0.2,0.5,31.7,2.5,3.2,79.2,1.9,2.5,4.5,2.1,0.8,0.8,1.6,11.6
Rory White,,1982,65,9.6,5,2,3.6,54.3,0,0,0,1.1,1.7,64.2,0.7,0.9,1.6,0.5,0.3,0,0.8,4.3
Russ Schoene,,1982,77,15.9,6.2,2.7,5.6,47.6,0,0.1,25,0.8,1.1,73.5,1.2,2.1,3.3,0.8,0.3,0.3,1.1,6.6
Scott Hastings,,1982,31,4.5,1.2,0.4,1.2,34.2,0,0.1,0,0.4,0.6,55,0.5,0.8,1.3,0.1,0.2,0,0.3,1.5
Sleepy Floyd,,1982,76,16.4,8.1,3,6.9,42.9,0.1,0.3,40,2,2.4,83.3,0.7,1.1,1.8,1.8,0.8,0.2,1.4,6.9
Terry Cummings,,1982,70,36.2,23.7,9.8,18.7,52.3,0,0,0,4.2,5.9,70.9,4.3,6.3,10.6,2.5,1.8,0.9,2.9,26
Terry Teagle,,1982,73,23.4,10.4,4.5,10.6,42.8,0.1,0.4,34.5,1.2,1.7,69.6,1,1.6,2.7,2.1,0.7,0.3,1.9,7.6
Trent Tucker,,1982,78,23.5,8.4,3.8,8.3,46.2,0.2,0.4,46.7,0.6,0.8,67.2,1,1.8,2.8,2.5,0.7,0.1,0.9,8.8
Walker Russell,,1982,68,11.1,2.7,1,2.7,36.4,0,0.3,11.1,0.7,0.9,81,0.3,0.8,1.1,1.9,0.2,0,1.4,2.7
Bob Hansen,,1983,55,7.6,2.7,1.2,2.6,44.8,0,0.1,0,0.3,0.5,64.3,0.2,0.6,0.9,0.8,0.3,0.1,0.6,2.4
Bruce Kuczenski,,1983,15,7.9,1.9,0.7,2.5,27,0,0,0,0.5,0.8,66.7,0.5,1.1,1.5,0.5,0.1,0.1,1,1
Byron Scott,,1983,74,22.1,10.6,4.5,9.3,48.4,0.1,0.5,23.5,1.5,1.9,80.6,0.7,1.5,2.2,2.4,1.1,0.3,1.6,9.9
Clyde Drexler,2004,1983,82,17.2,7.7,3.1,6.8,45.1,0,0,25,1.5,2.1,72.8,1.4,1.5,2.9,1.9,1.3,0.3,1.5,8.2
Dale Ellis,,1983,67,15.8,8.2,3.4,7.4,45.6,0.2,0.4,41.4,1.3,1.8,71.9,1.6,2.1,3.7,0.8,0.6,0.1,1.2,7.8
Dane Suttle,,1983,40,11.7,6.5,2.7,5.4,50.9,0,0.1,0,1,1.2,85.1,0.5,0.6,1.2,1.2,0.5,0,0.8,5.7
Darrell Walker,,1983,82,16.1,7.9,2.6,6.3,41.7,0,0.2,26.7,2.5,3.2,79.1,0.9,1.1,2,3.5,1.6,0.2,2.4,8.4
Darren Daye,,1983,75,15.7,6.1,2.4,5.4,44.1,0,0.1,0,1.3,1.8,71.4,1.2,1.3,2.5,2.3,0.5,0.2,1.3,6.8
Derek Harper,,1983,82,20.9,5.7,2.4,5.5,44.3,0,0.3,11.5,0.8,1.2,67.3,0.6,1.5,2.1,2.9,1.2,0.3,1.4,7.3
Doc Rivers,,1983,81,23.9,9.3,3.1,6.7,46.2,0,0.1,16.7,3.1,4,78.5,0.9,1.8,2.7,3.9,1.6,0.4,2.1,11.3
Ennis Whatley,,1983,80,27,8.4,3.3,7,46.9,0,0,0,1.8,2.5,73,0.8,1.7,2.5,8.3,1.5,0.2,3.4,13.1
Fred Roberts,,1983,79,19.4,7.3,2.7,5.1,53.6,0,0.1,25,1.8,2.2,83.7,1.3,2.6,3.8,1.2,0.7,0.5,1.3,9.5
Granville Waiters,,1983,78,13.3,3.6,1.6,3.1,51.7,0,0,0,0.4,0.7,60.8,0.8,2.1,2.9,0.8,0.3,1.1,0.8,6.1
Greg Kite,,1983,35,5.6,1.9,0.9,1.9,45.5,0,0,0,0.1,0.5,31.3,0.8,1,1.8,0.2,0,0.1,0.6,2.1
Howard Carter,,1983,55,12.5,6.2,2.6,5.7,45.9,0.1,0.3,26.3,0.9,1.1,77,0.7,0.9,1.6,1.3,0.3,0.1,0.8,5.4
Jeff Malone,,1983,81,24.4,12.1,5,11.3,44.4,0.3,0.9,32.4,1.8,2.1,82.6,0.7,1.2,1.9,1.9,0.3,0.2,1.4,8.3
Jim Thomas,,1983,72,16.9,6.3,2.6,5.6,46.4,0,0.2,9.1,1.1,1.5,72.7,0.8,1.3,2.1,1.8,0.8,0.1,1,6.7
