objectid,shape_leng,shape_area,gis_id,featurecod,descriptio,capturedat,captureyea,captureact
202,97.853386436595684,504.012609039935455,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
203,67.528843409689770,280.582120501576185,,3110,Basketball Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
204,86.837482100400464,401.761306479788345,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
205,225.040635090882176,3219.983162488972539,,3130,Baseball Field,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
206,132.759758621610217,481.516887463837065,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
207,226.502908470581929,1117.158160825457799,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
208,45.263446853589585,149.909575519453995,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
209,61.086721762495685,228.831753954705505,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
210,109.693529943303417,668.375058006253312,,3120,Tennis Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
211,142.259588746413186,1262.525340024227262,,3120,Tennis Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
212,762.369687368062273,2124.331345540959774,,3160,Track,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
213,251.541772151055909,3624.567436065974562,,3130,Baseball Field,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
214,341.853822724786994,7033.794295863351181,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
215,45.193614535432026,87.220485990261238,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
216,54.786788179588285,186.096003954206338,,3110,Basketball Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
217,82.312381541022802,422.222911964633056,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
218,21.645602185565206,28.357724511527003,,3110,Basketball Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
219,35.671601469345731,76.394137997325771,,3110,Basketball Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
220,41.807200343283924,114.920903982580739,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
